==PROF== Connected to process 320173 (/home/jakeshea/solar-rtx3090/lt_gemm)
==PROF== Disconnected from process 320173
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","320173","lt_gemm","127.0.0.1","fill_bf16(__nv_bfloat16 *, unsigned long, float)","1","7","(256, 1, 1)","(262144, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum.per_second","byte/s","798,921,866,001.15"
"0","320173","lt_gemm","127.0.0.1","fill_bf16(__nv_bfloat16 *, unsigned long, float)","1","7","(256, 1, 1)","(262144, 1, 1)","0","8.6","Command line profiler metrics","gpu__time_duration.sum","ns","166,688"
"0","320173","lt_gemm","127.0.0.1","fill_bf16(__nv_bfloat16 *, unsigned long, float)","1","7","(256, 1, 1)","(262144, 1, 1)","0","8.6","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum","inst","0"
"0","320173","lt_gemm","127.0.0.1","fill_bf16(__nv_bfloat16 *, unsigned long, float)","1","7","(256, 1, 1)","(262144, 1, 1)","0","8.6","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum.peak_sustained","inst/cycle","84"
"0","320173","lt_gemm","127.0.0.1","fill_bf16(__nv_bfloat16 *, unsigned long, float)","1","7","(256, 1, 1)","(262144, 1, 1)","0","8.6","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum.peak_sustained_active","inst","20,677,945"
"0","320173","lt_gemm","127.0.0.1","fill_bf16(__nv_bfloat16 *, unsigned long, float)","1","7","(256, 1, 1)","(262144, 1, 1)","0","8.6","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum.per_cycle_active","inst/cycle","0"
"1","320173","lt_gemm","127.0.0.1","fill_bf16(__nv_bfloat16 *, unsigned long, float)","1","7","(256, 1, 1)","(262144, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum.per_second","byte/s","787,045,131,553.68"
"1","320173","lt_gemm","127.0.0.1","fill_bf16(__nv_bfloat16 *, unsigned long, float)","1","7","(256, 1, 1)","(262144, 1, 1)","0","8.6","Command line profiler metrics","gpu__time_duration.sum","ns","166,624"
"1","320173","lt_gemm","127.0.0.1","fill_bf16(__nv_bfloat16 *, unsigned long, float)","1","7","(256, 1, 1)","(262144, 1, 1)","0","8.6","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum","inst","0"
"1","320173","lt_gemm","127.0.0.1","fill_bf16(__nv_bfloat16 *, unsigned long, float)","1","7","(256, 1, 1)","(262144, 1, 1)","0","8.6","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum.peak_sustained","inst/cycle","84"
"1","320173","lt_gemm","127.0.0.1","fill_bf16(__nv_bfloat16 *, unsigned long, float)","1","7","(256, 1, 1)","(262144, 1, 1)","0","8.6","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum.peak_sustained_active","inst","20,458,798"
"1","320173","lt_gemm","127.0.0.1","fill_bf16(__nv_bfloat16 *, unsigned long, float)","1","7","(256, 1, 1)","(262144, 1, 1)","0","8.6","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum.per_cycle_active","inst/cycle","0"
"2","320173","lt_gemm","127.0.0.1","fill_bf16(__nv_bfloat16 *, unsigned long, float)","1","7","(256, 1, 1)","(262144, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum.per_second","byte/s","802,887,864,823.35"
"2","320173","lt_gemm","127.0.0.1","fill_bf16(__nv_bfloat16 *, unsigned long, float)","1","7","(256, 1, 1)","(262144, 1, 1)","0","8.6","Command line profiler metrics","gpu__time_duration.sum","ns","166,656"
"2","320173","lt_gemm","127.0.0.1","fill_bf16(__nv_bfloat16 *, unsigned long, float)","1","7","(256, 1, 1)","(262144, 1, 1)","0","8.6","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum","inst","0"
"2","320173","lt_gemm","127.0.0.1","fill_bf16(__nv_bfloat16 *, unsigned long, float)","1","7","(256, 1, 1)","(262144, 1, 1)","0","8.6","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum.peak_sustained","inst/cycle","84"
"2","320173","lt_gemm","127.0.0.1","fill_bf16(__nv_bfloat16 *, unsigned long, float)","1","7","(256, 1, 1)","(262144, 1, 1)","0","8.6","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum.peak_sustained_active","inst","20,623,578"
