==PROF== Connected to process 278299 (/home/jakeshea/solar-rtx3090/probe)
==PROF== Disconnected from process 278299
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum","byte","4,294,957,440"
"0","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum.peak_sustained","byte/cycle","96"
"0","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum.peak_sustained.per_second","","n/a"
"0","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum.per_second","byte/s","890,083,160,910.39"
"0","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","gpu__time_duration.sum","ns","4,825,344"
"1","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum","byte","4,292,746,240"
"1","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum.peak_sustained","byte/cycle","96"
"1","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum.peak_sustained.per_second","","n/a"
"1","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum.per_second","byte/s","889,595,416,354.44"
"1","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","gpu__time_duration.sum","ns","4,825,504"
"2","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum","byte","4,300,558,464"
"2","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum.peak_sustained","byte/cycle","96"
"2","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum.peak_sustained.per_second","","n/a"
"2","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum.per_second","byte/s","885,057,571,486.90"
"2","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","gpu__time_duration.sum","ns","4,859,072"
"3","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum","byte","4,292,153,856"
"3","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum.peak_sustained","byte/cycle","96"
"3","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum.peak_sustained.per_second","","n/a"
"3","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum.per_second","byte/s","890,866,877,876.74"
"3","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","gpu__time_duration.sum","ns","4,817,952"
"4","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum","byte","4,292,256,128"
"4","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum.peak_sustained","byte/cycle","96"
"4","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum.peak_sustained.per_second","","n/a"
"4","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum.per_second","byte/s","883,931,069,023.24"
"4","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","gpu__time_duration.sum","ns","4,855,872"
"5","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum","byte","4,292,296,448"
"5","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum.peak_sustained","byte/cycle","96"
"5","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum.peak_sustained.per_second","","n/a"
"5","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum.per_second","byte/s","886,632,937,832.57"
"5","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","gpu__time_duration.sum","ns","4,841,120"
"6","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum","byte","4,292,413,056"
"6","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum.peak_sustained","byte/cycle","96"
"6","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum.peak_sustained.per_second","","n/a"
"6","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum.per_second","byte/s","889,426,101,025.10"
"6","278299","probe","127.0.0.1","dram_copy_kernel(const float4 *, float4 *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","gpu__time_duration.sum","ns","4,826,048"
