==PROF== Connected to process 278499 (/home/jakeshea/solar-rtx3090/probe)
==PROF== Disconnected from process 278499
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","gpu__time_duration.sum","ns","6,906,432"
"0","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes.sum","byte","6,459,284,832"
"0","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes.sum.peak_sustained","byte/cycle","1,536"
"0","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes.sum.peak_sustained.per_second","","n/a"
"0","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes.sum.per_second","byte/s","935,256,414,889.77"
"1","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","gpu__time_duration.sum","ns","6,807,520"
"1","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes.sum","byte","6,468,127,776"
"1","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes.sum.peak_sustained","byte/cycle","1,536"
"1","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes.sum.peak_sustained.per_second","","n/a"
"1","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes.sum.per_second","byte/s","950,144,513,126.66"
"2","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","gpu__time_duration.sum","ns","6,871,648"
"2","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes.sum","byte","6,477,917,152"
"2","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes.sum.peak_sustained","byte/cycle","1,536"
"2","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes.sum.peak_sustained.per_second","","n/a"
"2","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes.sum.per_second","byte/s","942,702,122,111.03"
"3","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","gpu__time_duration.sum","ns","6,784,128"
"3","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes.sum","byte","6,446,157,216"
"3","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes.sum.peak_sustained","byte/cycle","1,536"
"3","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes.sum.peak_sustained.per_second","","n/a"
"3","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes.sum.per_second","byte/s","950,182,133,355.97"
"4","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","gpu__time_duration.sum","ns","6,820,736"
"4","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes.sum","byte","6,431,225,152"
"4","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes.sum.peak_sustained","byte/cycle","1,536"
"4","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes.sum.peak_sustained.per_second","","n/a"
"4","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes.sum.per_second","byte/s","942,893,135,286.28"
"5","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","gpu__time_duration.sum","ns","6,823,872"
"5","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes.sum","byte","6,429,586,592"
"5","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes.sum.peak_sustained","byte/cycle","1,536"
"5","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes.sum.peak_sustained.per_second","","n/a"
"5","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes.sum.per_second","byte/s","942,219,694,624.99"
"6","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","gpu__time_duration.sum","ns","6,909,536"
"6","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes.sum","byte","6,471,255,872"
"6","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes.sum.peak_sustained","byte/cycle","1,536"
"6","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes.sum.peak_sustained.per_second","","n/a"
"6","278499","probe","127.0.0.1","l2_kernel(float4 *, unsigned long long *, unsigned long, int)","1","7","(256, 1, 1)","(672, 1, 1)","0","8.6","Command line profiler metrics","lts__t_bytes.sum.per_second","byte/s","936,568,804,620.17"
