Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,A,B,C,D,alpha,beta,split_k_mode,split_k_slices,batch_count,raster_order,runtime_input_datatype_a,runtime_input_datatype_b,use_pdl,enable_sm90_mixed_dtype_shuffle_test,swizzle_size,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,gemm,cutlass_tensorop_bf16_s16816gemm_bf16_256x128_32x3_nn_align8,not_verified,success,universal,8192,8192,8192,bf16:column,bf16:column,bf16:column,bf16:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,256,128,32,1,1,1,1,1,1,3,4,2,1,16,8,16,80,1024,402653184,1099645845504,2731,13.0289,28.7821,84400.4
1,CUTLASS,gemm,cutlass_tensorop_bf16_s16816gemm_bf16_128x256_32x3_nn_align8,not_verified,success,universal,8192,8192,8192,bf16:column,bf16:column,bf16:column,bf16:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,256,32,1,1,1,1,1,1,3,2,4,1,16,8,16,80,1024,402653184,1099645845504,2731,13.1565,28.503,83582
1,CUTLASS,gemm,cutlass_tensorop_bf16_s16816gemm_bf16_256x64_32x3_nn_align8,not_verified,success,universal,8192,8192,8192,bf16:column,bf16:column,bf16:column,bf16:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,256,64,32,1,1,1,1,1,1,3,4,1,1,16,8,16,80,1024,402653184,1099645845504,2731,14.9708,25.0488,73452.8
1,CUTLASS,gemm,cutlass_tensorop_bf16_s16816gemm_bf16_256x64_32x4_nn_align8,not_verified,success,universal,8192,8192,8192,bf16:column,bf16:column,bf16:column,bf16:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,256,64,32,1,1,1,1,1,1,4,4,1,1,16,8,16,80,1024,402653184,1099645845504,2731,16.384,22.8882,67117.1
1,CUTLASS,gemm,cutlass_tensorop_bf16_s16816gemm_bf16_64x256_32x4_nn_align8,not_verified,success,universal,8192,8192,8192,bf16:column,bf16:column,bf16:column,bf16:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,64,256,32,1,1,1,1,1,1,4,1,4,1,16,8,16,80,1024,402653184,1099645845504,2731,14.7561,25.4131,74521.2
1,CUTLASS,gemm,cutlass_tensorop_bf16_s16816gemm_bf16_128x128_32x3_nn_align8,not_verified,success,universal,8192,8192,8192,bf16:column,bf16:column,bf16:column,bf16:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,32,1,1,1,1,1,1,3,2,2,1,16,8,16,80,1024,402653184,1099645845504,2731,14.4875,25.8844,75903.1
1,CUTLASS,gemm,cutlass_tensorop_bf16_s16816gemm_bf16_128x128_32x4_nn_align8,not_verified,success,universal,8192,8192,8192,bf16:column,bf16:column,bf16:column,bf16:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,32,1,1,1,1,1,1,4,2,2,1,16,8,16,80,1024,402653184,1099645845504,2731,14.5598,25.7559,75526.2
1,CUTLASS,gemm,cutlass_tensorop_bf16_s16816gemm_bf16_128x128_32x5_nn_align8,not_verified,success,universal,8192,8192,8192,bf16:column,bf16:column,bf16:column,bf16:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,32,1,1,1,1,1,1,5,2,2,1,16,8,16,80,1024,402653184,1099645845504,2731,14.4898,25.8803,75891.2
1,CUTLASS,gemm,cutlass_tensorop_bf16_s16816gemm_bf16_128x64_32x6_nn_align8,not_verified,success,universal,8192,8192,8192,bf16:column,bf16:column,bf16:column,bf16:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,64,32,1,1,1,1,1,1,6,2,2,1,16,8,16,80,1024,402653184,1099645845504,2731,15.949,23.5124,68947.6
1,CUTLASS,gemm,cutlass_tensorop_bf16_s16816gemm_bf16_64x128_32x6_nn_align8,not_verified,success,universal,8192,8192,8192,bf16:column,bf16:column,bf16:column,bf16:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,64,128,32,1,1,1,1,1,1,6,2,2,1,16,8,16,80,1024,402653184,1099645845504,2731,19.0288,19.7069,57788.4
1,CUTLASS,gemm,cutlass_tensorop_bf16_s16816gemm_bf16_64x64_32x10_nn_align8,not_verified,success,universal,8192,8192,8192,bf16:column,bf16:column,bf16:column,bf16:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,64,64,32,1,1,1,1,1,1,10,2,2,1,16,8,16,80,1024,402653184,1099645845504,2731,17.4865,21.4451,62885.3
1,CUTLASS,gemm,cutlass_tensorop_bf16_s16816gemm_bf16_128x128_64x3_nn_align8,not_verified,success,universal,8192,8192,8192,bf16:column,bf16:column,bf16:column,bf16:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,64,1,1,1,1,1,1,3,2,2,1,16,8,16,80,1024,402653184,1099645845504,2731,14.6562,25.5864,75029.4
1,CUTLASS,gemm,cutlass_tensorop_bf16_s16816gemm_bf16_128x64_64x3_nn_align8,not_verified,success,universal,8192,8192,8192,bf16:column,bf16:column,bf16:column,bf16:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,64,64,1,1,1,1,1,1,3,2,2,1,16,8,16,80,1024,402653184,1099645845504,2731,17.2432,21.7477,63772.8
