Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,A,B,C,D,alpha,beta,split_k_mode,split_k_slices,batch_count,raster_order,runtime_input_datatype_a,runtime_input_datatype_b,use_pdl,enable_sm90_mixed_dtype_shuffle_test,swizzle_size,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,gemm,cutlass_tensorop_i8816gemm_s8_256x128_64x2_tn_align16,not_verified,success,universal,8192,8192,8192,s8:row,s8:column,s32:column,s32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,s32,256,128,64,1,1,1,1,1,1,2,4,2,1,8,8,16,75,1024,402653184,1099645845504,2731,4.5154,83.0492,243532
1,CUTLASS,gemm,cutlass_tensorop_i8816gemm_s8_128x256_64x2_tn_align16,not_verified,success,universal,8192,8192,8192,s8:row,s8:column,s32:column,s32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,s32,128,256,64,1,1,1,1,1,1,2,2,4,1,8,8,16,75,1024,402653184,1099645845504,2731,7.07736,52.9858,155375
1,CUTLASS,gemm,cutlass_tensorop_i8816gemm_s8_128x128_64x2_tn_align16,not_verified,success,universal,8192,8192,8192,s8:row,s8:column,s32:column,s32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,s32,128,128,64,1,1,1,1,1,1,2,2,2,1,8,8,16,75,1024,402653184,1099645845504,2731,12.1383,30.894,90593.1
1,CUTLASS,gemm,cutlass_tensorop_i8816gemm_s8_64x256_64x2_tn_align16,not_verified,success,universal,8192,8192,8192,s8:row,s8:column,s32:column,s32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,s32,64,256,64,1,1,1,1,1,1,2,1,4,1,8,8,16,75,1024,402653184,1099645845504,2731,17.3857,21.5695,63250.1
1,CUTLASS,gemm,cutlass_tensorop_i8816gemm_s8_256x64_64x2_tn_align16,not_verified,success,universal,8192,8192,8192,s8:row,s8:column,s32:column,s32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,s32,256,64,64,1,1,1,1,1,1,2,4,1,1,8,8,16,75,1024,402653184,1099645845504,2731,18.4026,20.3776,59755
1,CUTLASS,gemm,cutlass_tensorop_i8816gemm_s8_64x128_64x2_tn_align16,not_verified,success,universal,8192,8192,8192,s8:row,s8:column,s32:column,s32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,s32,64,128,64,1,1,1,1,1,1,2,2,2,1,8,8,16,75,1024,402653184,1099645845504,2731,7.69178,48.7534,142964
1,CUTLASS,gemm,cutlass_tensorop_i8816gemm_s8_128x64_64x2_tn_align16,not_verified,success,universal,8192,8192,8192,s8:row,s8:column,s32:column,s32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,s32,128,64,64,1,1,1,1,1,1,2,2,2,1,8,8,16,75,1024,402653184,1099645845504,2731,12.9115,29.0439,85168.1
1,CUTLASS,gemm,cutlass_tensorop_i8816gemm_s8_64x64_64x2_tn_align16,not_verified,success,universal,8192,8192,8192,s8:row,s8:column,s32:column,s32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,s32,64,64,64,1,1,1,1,1,1,2,2,2,1,8,8,16,75,1024,402653184,1099645845504,2731,35.4284,10.5847,31038.5
1,CUTLASS,gemm,cutlass_tensorop_i8816gemm_s8_256x32_64x2_tn_align16,not_verified,success,universal,8192,8192,8192,s8:row,s8:column,s32:column,s32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,s32,256,32,64,1,1,1,1,1,1,2,4,1,1,8,8,16,75,1024,402653184,1099645845504,2731,9.80342,38.252,112170
1,CUTLASS,gemm,cutlass_tensorop_i8816gemm_s8_32x256_64x2_tn_align16,not_verified,success,universal,8192,8192,8192,s8:row,s8:column,s32:column,s32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,s32,32,256,64,1,1,1,1,1,1,2,1,4,1,8,8,16,75,1024,402653184,1099645845504,2731,20.3814,18.3992,53953.5
1,CUTLASS,gemm,cutlass_tensorop_i8816gemm_s8_128x32_64x2_tn_align16,not_verified,success,universal,8192,8192,8192,s8:row,s8:column,s32:column,s32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,s32,128,32,64,1,1,1,1,1,1,2,4,1,1,8,8,16,75,1024,402653184,1099645845504,2731,29.2555,12.8181,37587.6
1,CUTLASS,gemm,cutlass_tensorop_i8816gemm_s8_64x32_64x2_tn_align16,not_verified,success,universal,8192,8192,8192,s8:row,s8:column,s32:column,s32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,s32,64,32,64,1,1,1,1,1,1,2,2,1,1,8,8,16,75,1024,402653184,1099645845504,2731,27.1363,13.8191,40523.1
1,CUTLASS,gemm,cutlass_tensorop_i8816gemm_s8_256x128_32x2_tn_align16,not_verified,success,universal,8192,8192,8192,s8:row,s8:column,s32:column,s32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,s32,256,128,32,1,1,1,1,1,1,2,4,2,1,8,8,16,75,1024,402653184,1099645845504,2731,10.8515,34.5575,101336
1,CUTLASS,gemm,cutlass_tensorop_i8816gemm_s8_128x256_32x2_tn_align16,not_verified,success,universal,8192,8192,8192,s8:row,s8:column,s32:column,s32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,s32,128,256,32,1,1,1,1,1,1,2,2,4,1,8,8,16,75,1024,402653184,1099645845504,2731,10.9002,34.4031,100883
1,CUTLASS,gemm,cutlass_tensorop_i8816gemm_s8_128x128_32x2_tn_align16,not_verified,success,universal,8192,8192,8192,s8:row,s8:column,s32:column,s32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,s32,128,128,32,1,1,1,1,1,1,2,2,2,1,8,8,16,75,1024,402653184,1099645845504,2731,13.002,28.8416,84574.9
1,CUTLASS,gemm,cutlass_tensorop_i8816gemm_s8_64x256_32x2_tn_align16,not_verified,success,universal,8192,8192,8192,s8:row,s8:column,s32:column,s32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,s32,64,256,32,1,1,1,1,1,1,2,1,4,1,8,8,16,75,1024,402653184,1099645845504,2731,15.1607,24.735,72532.5
1,CUTLASS,gemm,cutlass_tensorop_i8816gemm_s8_256x64_32x2_tn_align16,not_verified,success,universal,8192,8192,8192,s8:row,s8:column,s32:column,s32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,s32,256,64,32,1,1,1,1,1,1,2,4,1,1,8,8,16,75,1024,402653184,1099645845504,2731,16.8113,22.3064,65411
1,CUTLASS,gemm,cutlass_tensorop_i8816gemm_s8_64x128_32x2_tn_align16,not_verified,success,universal,8192,8192,8192,s8:row,s8:column,s32:column,s32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,s32,64,128,32,1,1,1,1,1,1,2,2,2,1,8,8,16,75,1024,402653184,1099645845504,2731,19.1618,19.5702,57387.5
1,CUTLASS,gemm,cutlass_tensorop_i8816gemm_s8_128x64_32x2_tn_align16,not_verified,success,universal,8192,8192,8192,s8:row,s8:column,s32:column,s32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,s32,128,64,32,1,1,1,1,1,1,2,2,2,1,8,8,16,75,1024,402653184,1099645845504,2731,17.7666,21.107,61894
1,CUTLASS,gemm,cutlass_tensorop_i8816gemm_s8_64x64_32x2_tn_align16,not_verified,success,universal,8192,8192,8192,s8:row,s8:column,s32:column,s32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,s32,64,64,32,1,1,1,1,1,1,2,2,2,1,8,8,16,75,1024,402653184,1099645845504,2731,21.6817,17.2957,50717.7
1,CUTLASS,gemm,cutlass_tensorop_i8816gemm_s8_128x32_32x2_tn_align16,not_verified,success,universal,8192,8192,8192,s8:row,s8:column,s32:column,s32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,s32,128,32,32,1,1,1,1,1,1,2,2,1,1,8,8,16,75,1024,402653184,1099645845504,2731,24.9259,15.0446,44116.6
1,CUTLASS,gemm,cutlass_tensorop_i8816gemm_s8_64x32_32x2_tn_align16,not_verified,success,universal,8192,8192,8192,s8:row,s8:column,s32:column,s32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,s32,64,32,32,1,1,1,1,1,1,2,2,1,1,8,8,16,75,1024,402653184,1099645845504,2731,28.9234,12.9653,38019.2
