Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,A,B,C,D,alpha,beta,split_k_mode,split_k_slices,batch_count,raster_order,runtime_input_datatype_a,runtime_input_datatype_b,use_pdl,enable_sm90_mixed_dtype_shuffle_test,swizzle_size,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_256x128_16x3_nn_align4,not_verified,success,universal,8192,8192,8192,tf32:column,tf32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,256,128,16,1,1,1,1,1,1,3,4,2,1,16,8,8,80,1024,805306368,1099645845504,1365,28.411,26.3982,38704.9
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_128x256_16x3_nn_align4,not_verified,success,universal,8192,8192,8192,tf32:column,tf32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,256,16,1,1,1,1,1,1,3,2,4,1,16,8,8,80,1024,805306368,1099645845504,1365,33.7472,22.2241,32584.8
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_256x64_16x4_nn_align4,not_verified,success,universal,8192,8192,8192,tf32:column,tf32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,256,64,16,1,1,1,1,1,1,4,4,1,1,16,8,8,80,1024,805306368,1099645845504,1365,34.1235,21.979,32225.5
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_64x256_16x4_nn_align4,not_verified,success,universal,8192,8192,8192,tf32:column,tf32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,64,256,16,1,1,1,1,1,1,4,1,4,1,16,8,8,80,1024,805306368,1099645845504,1365,29.1853,25.6978,37678
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_128x128_16x5_nn_align4,not_verified,success,universal,8192,8192,8192,tf32:column,tf32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,16,1,1,1,1,1,1,5,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,33.6141,22.312,32713.8
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_128x128_16x4_nn_align4,not_verified,success,universal,8192,8192,8192,tf32:column,tf32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,16,1,1,1,1,1,1,4,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,31.687,23.669,34703.4
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_128x128_16x3_nn_align4,not_verified,success,universal,8192,8192,8192,tf32:column,tf32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,16,1,1,1,1,1,1,3,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,30.3442,24.7164,36239.1
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_128x64_16x6_nn_align4,not_verified,success,universal,8192,8192,8192,tf32:column,tf32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,64,16,1,1,1,1,1,1,6,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,33.6778,22.2698,32651.9
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_64x128_16x6_nn_align4,not_verified,success,universal,8192,8192,8192,tf32:column,tf32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,64,128,16,1,1,1,1,1,1,6,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,33.8061,22.1853,32528
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_64x64_16x10_nn_align4,not_verified,success,universal,8192,8192,8192,tf32:column,tf32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,64,64,16,1,1,1,1,1,1,10,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,45.5085,16.4805,24163.6
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_128x128_32x3_nn_align4,not_verified,success,universal,8192,8192,8192,tf32:column,tf32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,32,1,1,1,1,1,1,3,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,33.8517,22.1554,32484.2
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_128x64_32x3_nn_align4,not_verified,success,universal,8192,8192,8192,tf32:column,tf32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,64,32,1,1,1,1,1,1,3,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,32.3564,23.1793,33985.4
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_64x128_32x3_nn_align4,not_verified,success,universal,8192,8192,8192,tf32:column,tf32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,64,128,32,1,1,1,1,1,1,3,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,33.7284,22.2365,32603
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_64x64_32x5_nn_align4,not_verified,success,universal,8192,8192,8192,tf32:column,tf32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,64,64,32,1,1,1,1,1,1,5,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,42.7515,17.5432,25721.8
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_256x128_16x3_nt_align4,not_verified,success,universal,8192,8192,8192,tf32:column,tf32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,256,128,16,1,1,1,1,1,1,3,4,2,1,16,8,8,80,1024,805306368,1099645845504,1365,31.7528,23.62,34631.5
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_128x256_16x3_nt_align4,not_verified,success,universal,8192,8192,8192,tf32:column,tf32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,256,16,1,1,1,1,1,1,3,2,4,1,16,8,8,80,1024,805306368,1099645845504,1365,30.264,24.7819,36335.1
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_256x64_16x4_nt_align4,not_verified,success,universal,8192,8192,8192,tf32:column,tf32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,256,64,16,1,1,1,1,1,1,4,4,1,1,16,8,8,80,1024,805306368,1099645845504,1365,33.6191,22.3087,32709
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_64x256_16x4_nt_align4,not_verified,success,universal,8192,8192,8192,tf32:column,tf32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,64,256,16,1,1,1,1,1,1,4,1,4,1,16,8,8,80,1024,805306368,1099645845504,1365,33.587,22.3301,32740.2
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_128x128_16x5_nt_align4,not_verified,success,universal,8192,8192,8192,tf32:column,tf32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,16,1,1,1,1,1,1,5,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,30.6965,24.4327,35823.1
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_128x128_16x4_nt_align4,not_verified,success,universal,8192,8192,8192,tf32:column,tf32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,16,1,1,1,1,1,1,4,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,33.596,22.3241,32731.4
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_128x128_16x3_nt_align4,not_verified,success,universal,8192,8192,8192,tf32:column,tf32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,16,1,1,1,1,1,1,3,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,30.9034,24.2691,35583.3
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_128x64_16x6_nt_align4,not_verified,success,universal,8192,8192,8192,tf32:column,tf32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,64,16,1,1,1,1,1,1,6,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,37.903,19.7874,29012.1
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_64x128_16x6_nt_align4,not_verified,success,universal,8192,8192,8192,tf32:column,tf32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,64,128,16,1,1,1,1,1,1,6,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,42.3798,17.6971,25947.4
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_64x64_16x10_nt_align4,not_verified,success,universal,8192,8192,8192,tf32:column,tf32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,64,64,16,1,1,1,1,1,1,10,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,49.4129,15.1782,22254.2
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_128x128_32x3_nt_align4,not_verified,success,universal,8192,8192,8192,tf32:column,tf32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,32,1,1,1,1,1,1,3,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,34.2164,21.9193,32138
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_128x64_32x3_nt_align4,not_verified,success,universal,8192,8192,8192,tf32:column,tf32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,64,32,1,1,1,1,1,1,3,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,31.3572,23.918,35068.4
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_64x128_32x3_nt_align4,not_verified,success,universal,8192,8192,8192,tf32:column,tf32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,64,128,32,1,1,1,1,1,1,3,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,42.8929,17.4854,25637
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_64x64_32x5_nt_align4,not_verified,success,universal,8192,8192,8192,tf32:column,tf32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,64,64,32,1,1,1,1,1,1,5,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,48.2731,15.5366,22779.7
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_256x128_16x3_tn_align4,not_verified,success,universal,8192,8192,8192,tf32:row,tf32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,256,128,16,1,1,1,1,1,1,3,4,2,1,16,8,8,80,1024,805306368,1099645845504,1365,32.6064,23.0016,33724.9
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_128x256_16x3_tn_align4,not_verified,success,universal,8192,8192,8192,tf32:row,tf32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,256,16,1,1,1,1,1,1,3,2,4,1,16,8,8,80,1024,805306368,1099645845504,1365,33.6488,22.289,32680.1
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_256x64_16x4_tn_align4,not_verified,success,universal,8192,8192,8192,tf32:row,tf32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,256,64,16,1,1,1,1,1,1,4,4,1,1,16,8,8,80,1024,805306368,1099645845504,1365,34.4143,21.7933,31953.2
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_64x256_16x4_tn_align4,not_verified,success,universal,8192,8192,8192,tf32:row,tf32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,64,256,16,1,1,1,1,1,1,4,1,4,1,16,8,8,80,1024,805306368,1099645845504,1365,35.361,21.2098,31097.7
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_128x128_16x5_tn_align4,not_verified,success,universal,8192,8192,8192,tf32:row,tf32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,16,1,1,1,1,1,1,5,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,33.7639,22.2131,32568.7
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_128x128_16x4_tn_align4,not_verified,success,universal,8192,8192,8192,tf32:row,tf32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,16,1,1,1,1,1,1,4,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,33.8733,22.1414,32463.5
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_128x128_16x3_tn_align4,not_verified,success,universal,8192,8192,8192,tf32:row,tf32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,16,1,1,1,1,1,1,3,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,34.7653,21.5732,31630.6
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_128x64_16x6_tn_align4,not_verified,success,universal,8192,8192,8192,tf32:row,tf32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,64,16,1,1,1,1,1,1,6,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,36.9615,20.2914,29751.1
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_64x128_16x6_tn_align4,not_verified,success,universal,8192,8192,8192,tf32:row,tf32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,64,128,16,1,1,1,1,1,1,6,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,39.4634,19.0049,27864.9
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_64x64_16x10_tn_align4,not_verified,success,universal,8192,8192,8192,tf32:row,tf32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,64,64,16,1,1,1,1,1,1,10,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,54.1457,13.8515,20309
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_128x128_32x3_tn_align4,not_verified,success,universal,8192,8192,8192,tf32:row,tf32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,32,1,1,1,1,1,1,3,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,34.1788,21.9434,32173.4
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_128x64_32x3_tn_align4,not_verified,success,universal,8192,8192,8192,tf32:row,tf32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,64,32,1,1,1,1,1,1,3,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,36.4805,20.559,30143.4
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_64x128_32x3_tn_align4,not_verified,success,universal,8192,8192,8192,tf32:row,tf32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,64,128,32,1,1,1,1,1,1,3,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,35.7307,20.9903,30775.9
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_64x64_32x5_tn_align4,not_verified,success,universal,8192,8192,8192,tf32:row,tf32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,64,64,32,1,1,1,1,1,1,5,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,44.5447,16.837,24686.3
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_256x128_16x3_tt_align4,not_verified,success,universal,8192,8192,8192,tf32:row,tf32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,256,128,16,1,1,1,1,1,1,3,4,2,1,16,8,8,80,1024,805306368,1099645845504,1365,35.3603,21.2103,31098.4
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_128x256_16x3_tt_align4,not_verified,success,universal,8192,8192,8192,tf32:row,tf32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,256,16,1,1,1,1,1,1,3,2,4,1,16,8,8,80,1024,805306368,1099645845504,1365,31.7702,23.6071,34612.5
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_256x64_16x4_tt_align4,not_verified,success,universal,8192,8192,8192,tf32:row,tf32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,256,64,16,1,1,1,1,1,1,4,4,1,1,16,8,8,80,1024,805306368,1099645845504,1365,36.5489,20.5205,30087
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_64x256_16x4_tt_align4,not_verified,success,universal,8192,8192,8192,tf32:row,tf32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,64,256,16,1,1,1,1,1,1,4,1,4,1,16,8,8,80,1024,805306368,1099645845504,1365,35.8719,20.9078,30654.8
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_128x128_16x5_tt_align4,not_verified,success,universal,8192,8192,8192,tf32:row,tf32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,16,1,1,1,1,1,1,5,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,33.5535,22.3523,32772.9
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_128x128_16x4_tt_align4,not_verified,success,universal,8192,8192,8192,tf32:row,tf32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,16,1,1,1,1,1,1,4,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,34.8617,21.5136,31543.1
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_128x128_16x3_tt_align4,not_verified,success,universal,8192,8192,8192,tf32:row,tf32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,16,1,1,1,1,1,1,3,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,34.0338,22.0369,32310.4
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_128x64_16x6_tt_align4,not_verified,success,universal,8192,8192,8192,tf32:row,tf32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,64,16,1,1,1,1,1,1,6,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,37.3545,20.0779,29438.1
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_64x128_16x6_tt_align4,not_verified,success,universal,8192,8192,8192,tf32:row,tf32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,64,128,16,1,1,1,1,1,1,6,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,38.4714,19.495,28583.5
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_64x64_16x10_tt_align4,not_verified,success,universal,8192,8192,8192,tf32:row,tf32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,64,64,16,1,1,1,1,1,1,10,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,56.0377,13.3838,19623.3
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_128x128_32x3_tt_align4,not_verified,success,universal,8192,8192,8192,tf32:row,tf32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,128,32,1,1,1,1,1,1,3,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,33.8604,22.1498,32475.9
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_tf32_128x64_32x3_tt_align4,not_verified,success,universal,8192,8192,8192,tf32:row,tf32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,tensorop,f32,128,64,32,1,1,1,1,1,1,3,2,2,1,16,8,8,80,1024,805306368,1099645845504,1365,35.8879,20.8984,30641.2
